post_id,image_idx,image_local_path,paragraph_index,best_chunk_global_idx,image_chunk_similarity,cej_stage,chunk_text,similarity_status,text_cluster,text_cluster_label,image_subcluster,image_subcluster_global,img_umap_x,img_umap_y
35,35009,/content/drive/MyDrive/LG/0530/CodeZero_분석용_데이터/images/0035/img_09.jpg,9,127.0,0.1361133158206939,관리,"먼저 ""회수관리"" 먼저 설명드리겠습니다. 청소기 본체를 전문적인 케어를 하기위해 회수해갑니다. 분해세척으로 제품내부의 보이지않는 먼지나 곰팡이를 제거해줍니다. 필터와 먼지통의 구석구석 강력한 에어건으로 청소해줍니다. 프리필터와 배기필터를 스팀으로 세척하고, 초음파로 오래된 먼지까지 제거합니다. 프리필터와 배기필터를 무상으로 교체해드려, 필터를 처음과 같이 유지할 수 있습니다 . 고장 걱정 없이 안심하고 사용할 수 있도록 제품 파손, 탈착 상태, 모터/배터리 작동 상태, 소음 등을 이렇게나 깔끔하고 꼼꼼히 점검후 고객님께 다시 배송해드리는 형식입니다. ""청소기 가져가면 다시 올때까지 못쓰는게 불편해요.",valid_match,0,필터/먼지봉투 청소 및 교체 관리,2,T0_I2,1.7748045,1.7458351
35,35010,/content/drive/MyDrive/LG/0530/CodeZero_분석용_데이터/images/0035/img_10.jpg,10,127.0,0.1852496862411499,관리,"먼저 ""회수관리"" 먼저 설명드리겠습니다. 청소기 본체를 전문적인 케어를 하기위해 회수해갑니다. 분해세척으로 제품내부의 보이지않는 먼지나 곰팡이를 제거해줍니다. 필터와 먼지통의 구석구석 강력한 에어건으로 청소해줍니다. 프리필터와 배기필터를 스팀으로 세척하고, 초음파로 오래된 먼지까지 제거합니다. 프리필터와 배기필터를 무상으로 교체해드려, 필터를 처음과 같이 유지할 수 있습니다 . 고장 걱정 없이 안심하고 사용할 수 있도록 제품 파손, 탈착 상태, 모터/배터리 작동 상태, 소음 등을 이렇게나 깔끔하고 꼼꼼히 점검후 고객님께 다시 배송해드리는 형식입니다. ""청소기 가져가면 다시 올때까지 못쓰는게 불편해요.",valid_match,0,필터/먼지봉투 청소 및 교체 관리,1,T0_I1,1.6902727,1.898754
40,40004,/content/drive/MyDrive/LG/0530/CodeZero_분석용_데이터/images/0040/img_04.jpg,4,145.0,0.0997047796845436,관리,청소기를 구입할 때 두 달에 한 번씩 lg청소기필터청소를 하라고 하셨는데요~^^; 미루고 미루다가 드디어 청소를 했어요~ lg청소기필터청소 방법을 알려드리려고 합니다. 청소기의 성능을 오래도록 유지하기 위해서는 청소기의 성능을 최상으로 유지하려고 합니다. 현재 표준모드로 청소기를 사용할 경우 주기적인 점검과 필터 청소가 중요합니다! 먼저 배터리를 분리하는 것이 중요한데요. 청소기의 전원이 갑자기 켜질 수 있는 이를 방지하기 위해 배터리를 먼저 분리해야 해요! lg무선청소기 윗부분의 뚜껑을 열어줬는데요~ 배기 필터를 시계방향으로 돌려 분해한 후 안쪽에 위치한 프리필터도 청소기에서 빼내줍니다. 물로 세척하면 고장의 원인이 될 수 있는데요. 필터만 따로 세척하는 것이 좋습니다. 이 1차 비움 상태로는 충분하지 않을 수 있으니,valid_match,0,필터/먼지봉투 청소 및 교체 관리,0,T0_I0,-0.76917756,2.2235236
40,40005,/content/drive/MyDrive/LG/0530/CodeZero_분석용_데이터/images/0040/img_05.jpg,5,145.0,0.10939821600914,관리,청소기를 구입할 때 두 달에 한 번씩 lg청소기필터청소를 하라고 하셨는데요~^^; 미루고 미루다가 드디어 청소를 했어요~ lg청소기필터청소 방법을 알려드리려고 합니다. 청소기의 성능을 오래도록 유지하기 위해서는 청소기의 성능을 최상으로 유지하려고 합니다. 현재 표준모드로 청소기를 사용할 경우 주기적인 점검과 필터 청소가 중요합니다! 먼저 배터리를 분리하는 것이 중요한데요. 청소기의 전원이 갑자기 켜질 수 있는 이를 방지하기 위해 배터리를 먼저 분리해야 해요! lg무선청소기 윗부분의 뚜껑을 열어줬는데요~ 배기 필터를 시계방향으로 돌려 분해한 후 안쪽에 위치한 프리필터도 청소기에서 빼내줍니다. 물로 세척하면 고장의 원인이 될 수 있는데요. 필터만 따로 세척하는 것이 좋습니다. 이 1차 비움 상태로는 충분하지 않을 수 있으니,valid_match,0,필터/먼지봉투 청소 및 교체 관리,2,T0_I2,-0.32920125,2.1613715
49,49001,/content/drive/MyDrive/LG/0530/CodeZero_분석용_데이터/images/0049/img_01.jpg,1,180.0,0.1126272678375244,관리,"LG 무선청소기 필터 청소하듯 쓰는 비스포크 제트 청소방법 흡입력 저하 막는 무선 청소기 관리 가이드 필터에 먼지가 쌓이면 흡입력이 눈에 띄게 떨어지고, 그만큼 배터리 소모도 빨라질 수밖에 없는데요. 그래서 오늘은 제조사 안내 기준을 바탕으로 LG 무선청소기 필터 관리에 꼭 필요한 가장 먼저 본체에서 배터리를 분리해 주세요. 전원 차단은 안전을 위한 기본 단계이므로 앞쪽으로 당겨 배기 필터 덮개를 열어줍니다. 위쪽으로 들어 올려 완전히 분리합니다. 모터 주변에 쌓인 먼지를 제거합니다. 필터 아래에 모터가 위치해 있기 때문에 제품 본체는 절대 물로 세척하면 안 됩니다. 24시간 이상 자연 건조해야 합니다. 반드시 조립한 상태에서 사용해야 합니다. 이처럼 정기적으로 필터를 관리해 주면 제품 수명까지 오래 유지할 수 있습니다.",valid_match,0,필터/먼지봉투 청소 및 교체 관리,0,T0_I0,-3.321909,4.238357
49,49002,/content/drive/MyDrive/LG/0530/CodeZero_분석용_데이터/images/0049/img_02.jpg,2,180.0,0.0851128026843071,관리,"LG 무선청소기 필터 청소하듯 쓰는 비스포크 제트 청소방법 흡입력 저하 막는 무선 청소기 관리 가이드 필터에 먼지가 쌓이면 흡입력이 눈에 띄게 떨어지고, 그만큼 배터리 소모도 빨라질 수밖에 없는데요. 그래서 오늘은 제조사 안내 기준을 바탕으로 LG 무선청소기 필터 관리에 꼭 필요한 가장 먼저 본체에서 배터리를 분리해 주세요. 전원 차단은 안전을 위한 기본 단계이므로 앞쪽으로 당겨 배기 필터 덮개를 열어줍니다. 위쪽으로 들어 올려 완전히 분리합니다. 모터 주변에 쌓인 먼지를 제거합니다. 필터 아래에 모터가 위치해 있기 때문에 제품 본체는 절대 물로 세척하면 안 됩니다. 24시간 이상 자연 건조해야 합니다. 반드시 조립한 상태에서 사용해야 합니다. 이처럼 정기적으로 필터를 관리해 주면 제품 수명까지 오래 유지할 수 있습니다.",valid_match,0,필터/먼지봉투 청소 및 교체 관리,0,T0_I0,-3.3240047,4.2488604
49,49003,/content/drive/MyDrive/LG/0530/CodeZero_분석용_데이터/images/0049/img_03.jpg,3,180.0,0.1224468499422073,관리,"LG 무선청소기 필터 청소하듯 쓰는 비스포크 제트 청소방법 흡입력 저하 막는 무선 청소기 관리 가이드 필터에 먼지가 쌓이면 흡입력이 눈에 띄게 떨어지고, 그만큼 배터리 소모도 빨라질 수밖에 없는데요. 그래서 오늘은 제조사 안내 기준을 바탕으로 LG 무선청소기 필터 관리에 꼭 필요한 가장 먼저 본체에서 배터리를 분리해 주세요. 전원 차단은 안전을 위한 기본 단계이므로 앞쪽으로 당겨 배기 필터 덮개를 열어줍니다. 위쪽으로 들어 올려 완전히 분리합니다. 모터 주변에 쌓인 먼지를 제거합니다. 필터 아래에 모터가 위치해 있기 때문에 제품 본체는 절대 물로 세척하면 안 됩니다. 24시간 이상 자연 건조해야 합니다. 반드시 조립한 상태에서 사용해야 합니다. 이처럼 정기적으로 필터를 관리해 주면 제품 수명까지 오래 유지할 수 있습니다.",valid_match,0,필터/먼지봉투 청소 및 교체 관리,0,T0_I0,-3.3118093,4.2435627
49,49004,/content/drive/MyDrive/LG/0530/CodeZero_분석용_데이터/images/0049/img_04.jpg,4,180.0,0.0830992087721824,관리,"LG 무선청소기 필터 청소하듯 쓰는 비스포크 제트 청소방법 흡입력 저하 막는 무선 청소기 관리 가이드 필터에 먼지가 쌓이면 흡입력이 눈에 띄게 떨어지고, 그만큼 배터리 소모도 빨라질 수밖에 없는데요. 그래서 오늘은 제조사 안내 기준을 바탕으로 LG 무선청소기 필터 관리에 꼭 필요한 가장 먼저 본체에서 배터리를 분리해 주세요. 전원 차단은 안전을 위한 기본 단계이므로 앞쪽으로 당겨 배기 필터 덮개를 열어줍니다. 위쪽으로 들어 올려 완전히 분리합니다. 모터 주변에 쌓인 먼지를 제거합니다. 필터 아래에 모터가 위치해 있기 때문에 제품 본체는 절대 물로 세척하면 안 됩니다. 24시간 이상 자연 건조해야 합니다. 반드시 조립한 상태에서 사용해야 합니다. 이처럼 정기적으로 필터를 관리해 주면 제품 수명까지 오래 유지할 수 있습니다.",valid_match,0,필터/먼지봉투 청소 및 교체 관리,0,T0_I0,-3.3083935,4.305329
54,54005,/content/drive/MyDrive/LG/0530/CodeZero_분석용_데이터/images/0054/img_05.jpg,5,199.0,0.1769932806491851,관리,"LG코드제로A9 A9S M9 무선 청소기와 호환되는 물걸레 패드는 사용 후 올바르게 관리하는 것이 중요하다. 사용 후에는 깨끗한 물로 헹궈 잔여물이나 오염물을 제거하고 그늘에서 건조시킨다. 직사광선을 피하고 습기가 없는 곳에 보관하면 내구성을 높일 수 있다. 또한, 장기간 사용하지 않을 경우 밀폐된 공간에서 보관하여 먼지나 이물질이 묻지 않도록 하는 것이 바람직하다.",valid_match,0,필터/먼지봉투 청소 및 교체 관리,2,T0_I2,-0.20722525,1.2109276
54,54006,/content/drive/MyDrive/LG/0530/CodeZero_분석용_데이터/images/0054/img_06.jpg,6,199.0,0.1607358753681183,관리,"LG코드제로A9 A9S M9 무선 청소기와 호환되는 물걸레 패드는 사용 후 올바르게 관리하는 것이 중요하다. 사용 후에는 깨끗한 물로 헹궈 잔여물이나 오염물을 제거하고 그늘에서 건조시킨다. 직사광선을 피하고 습기가 없는 곳에 보관하면 내구성을 높일 수 있다. 또한, 장기간 사용하지 않을 경우 밀폐된 공간에서 보관하여 먼지나 이물질이 묻지 않도록 하는 것이 바람직하다.",valid_match,0,필터/먼지봉투 청소 및 교체 관리,2,T0_I2,-0.14780839,1.1351753
